DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
13/04/2026,OPP-EZ -0426-013,EZ VOLT,Felipe Hanke,, Negociação ,Parado,,0%,"EZ volt tem aproximadamente 60% dos apps de frotas nas garagens, verificar sobre aproximação e ver se compram carregadores da Livoltek, não fabricam.",13/04/2026,,,
03/04/2026,OPP-EZ -0426-013,EZ VOLT,Felipe Hanke,,Qualificação,Parado,,0%,"EZ volt tem aproximadamente 60% dos apps de frotas nas garagens, verificar sobre aproximação e ver se compram carregadores da Livoltek, não fabricam.",12/05/2026,,,
03/04/2026,OPP-EZ -0426-014,EZ VOLT,Felipe Hanke,,,,,0%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-EZ -0426-014,EZ VOLT,Felipe Hanke,, Negociação ,Parado,,0%,,13/04/2026,,,
12/05/2026,OPP-GOV-0526-033,GOVER DE PERNAMBUCO,Bruno Reis,,Lead,Aguardando cliente,Médio,,,14/05/2026,,,
13/04/2026,OPP-Gre-0426-023,Green Yellow,Felipe Hanke,, Negociação ,Aguardando processo interno,,,"Contato realizado, aguardando jurídico analizar contrato e",13/04/2026,,,
13/04/2026,OPP-GRE-0426-024,GREEN YELLOW,Felipe Hanke,,Lead,Em andamento,,0%,"Contato realizado, aguardando jurídico analizar contrato e",12/05/2026,,,
13/04/2026,OPP-Gru-0426-021,Grupo Sekita,Felipe Hanke,,Qualificação,Em andamento,,,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",13/04/2026,,,12/05/2026
13/04/2026,OPP-GRU-0426-023,GRUPO SEKITA,Felipe Hanke,,Lead,Em andamento,,0%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",12/05/2026,,,
13/04/2026,OPP-HS -0426-020,HS PRATES,Felipe Hanke,,Qualificação,Em andamento,,,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",13/04/2026,,,12/05/2026
13/04/2026,OPP-HS -0426-022,HS PRATES,Felipe Hanke,,Lead,Em andamento,,0%,"Fazer visita em São Gotardo, usa gerador à diesel no Plantio",12/05/2026,,,
13/04/2026,OPP-JUN-0426-013,JUNDU,Felipe Hanke,,Proposta,Aguardando processo interno,,80%,"Verificando com Kelly sobre novo Bess para POC, Felipe está em contato com Jener",12/05/2026,,,
